run_tag,run_datetime,dataset,victim_type,seed,d_in,max_rows,budget_target,iterations,batch_size,query_budget,extract_sec,queries_per_sec,ms_per_query,teacher_auroc,teacher_auprc,student_auroc,student_auprc,fidelity_mse,fidelity_mae,fidelity_spearman
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,50,7813,128,256,0.23244094848632812,1101.3549964715344,0.9079724550247192,0.8758286260393322,0.7455570333721621,0.8270884408577956,0.4343176602003948,26.507057189941406,2.8420562744140625,0.6154194150007579
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,100,7813,128,256,0.816389799118042,313.5756966544175,3.1890226528048515,0.8758286260393322,0.7455570333721621,0.8270884408577956,0.4343176602003948,26.507057189941406,2.8420562744140625,0.6154194150007579
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,200,7813,128,256,1.2277445793151855,208.51242539616206,4.7958772629499435,0.8758286260393322,0.7455570333721621,0.8270884408577956,0.4343176602003948,26.507057189941406,2.8420562744140625,0.6154194150007579
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,500,7813,128,512,1.656395673751831,309.1048884716601,3.235147800296545,0.8758286260393322,0.7455570333721621,0.8198495498324525,0.46630459859524864,26.010046005249023,2.8167831897735596,0.5989612609493453
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,1000,7813,128,1024,2.1010420322418213,487.37720820719966,2.0517988596111536,0.8758286260393322,0.7455570333721621,0.7886157227308768,0.48372772378677453,25.038999557495117,2.759629964828491,0.5154934968954613
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,2000,7813,128,2048,2.5910866260528564,790.4019801606672,1.2651790166273713,0.8758286260393322,0.7455570333721621,0.7488807533356862,0.4775424189557689,22.809772491455078,2.5899674892425537,0.47993241796580316
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,5000,7813,128,5120,3.2433156967163086,1578.6314003239765,0.633460097014904,0.8758286260393322,0.7455570333721621,0.8152768078599465,0.4655926886703138,17.143068313598633,2.018059015274048,0.6223187338130175
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,10000,7813,128,10240,4.053382158279419,2526.2853587796612,0.3958381013944745,0.8758286260393322,0.7455570333721621,0.8424754930040649,0.47219331006032794,9.872353553771973,1.498948335647583,0.7518420695115451
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,50000,7813,128,50176,7.026911735534668,7140.547923245285,0.1400452753414913,0.8758286260393322,0.7455570333721621,0.8159316088133485,0.44519003752371344,220.39129638671875,8.153815269470215,0.9149442331236116
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,100000,7813,128,100096,9.29187273979187,10772.424763346691,0.09282961097138617,0.8758286260393322,0.7455570333721621,0.8236288442901009,0.4840195396481035,256.99200439453125,8.1939115524292,0.9185224987382682
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,500000,7813,128,500224,40.17064023017883,12452.477658650776,0.08030530368430709,0.8758286260393322,0.7455570333721621,0.8477886157227309,0.5328724944584282,1391.59375,18.272783279418945,0.9129856242195891
CIC-IDS2017_pyod-AE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-AE,42,69,200000,1000000,7813,128,1000192,67.19908475875854,14884.012239015468,0.06718618501123638,0.8758286260393322,0.7455570333721621,0.8291828958142442,0.4851186944615351,8248.1806640625,44.847286224365234,0.912700935834423
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,50,7813,128,256,0.0157625675201416,16241.008939240392,0.06157252937555313,0.8530931845161142,0.6233813047365528,0.32578941987278737,0.11926671694556937,90.69685363769531,6.141972541809082,-0.29446398072612445
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,100,7813,128,256,0.49574947357177734,516.3898574729095,1.9365213811397552,0.8530931845161142,0.6233813047365528,0.32578941987278737,0.11926671694556937,90.69713592529297,6.142004013061523,-0.29442605995796917
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,200,7813,128,256,0.9793181419372559,261.40636942923265,3.8254614919424057,0.8530931845161142,0.6233813047365528,0.32578941987278737,0.11926671694556937,90.6969223022461,6.142017841339111,-0.294386959541809
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,500,7813,128,512,1.5234651565551758,336.07595014363346,2.9755178838968277,0.8530931845161142,0.6233813047365528,0.3357097029647419,0.12726265251802402,90.55266571044922,6.124895095825195,-0.18331819697487134
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,1000,7813,128,1024,2.0872087478637695,490.6073726684264,2.0382897928357124,0.8530931845161142,0.6233813047365528,0.35399013047290073,0.13188070685198905,89.96841430664062,6.0797247886657715,-0.05406069986943263
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,2000,7813,128,2048,2.6875290870666504,762.0382640157114,1.3122700620442629,0.8530931845161142,0.6233813047365528,0.34854391516322303,0.12901298990579277,88.86734008789062,5.99713659286499,-0.04368812869094658
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,5000,7813,128,5120,3.4872822761535645,1468.192017322815,0.6811098195612431,0.8530931845161142,0.6233813047365528,0.41071424951791946,0.1454543749881077,83.7504653930664,5.709208011627197,0.22063762727173172
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,10000,7813,128,10240,4.390005588531494,2332.571062495024,0.4287114832550287,0.8530931845161142,0.6233813047365528,0.6989126947467305,0.26403267712522205,77.4607162475586,5.688169002532959,0.63513914832953
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,50000,7813,128,50176,7.571112632751465,6627.2954100492925,0.15089111592696638,0.8530931845161142,0.6233813047365528,0.7793195518651247,0.3997270790773917,17.051515579223633,2.485832929611206,0.9171836965567844
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,100000,7813,128,100096,11.448285579681396,8743.317879635359,0.11437305766145897,0.8530931845161142,0.6233813047365528,0.8136293056345071,0.41612201567136436,14.646477699279785,2.450469732284546,0.9330221421896587
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,500000,7813,128,500224,38.51015520095825,12989.404934611972,0.07698582075421861,0.8530931845161142,0.6233813047365528,0.7782770675587398,0.45268512519046944,678.8397216796875,12.26332950592041,0.8926202793681727
CIC-IDS2017_pyod-VAE_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-VAE,42,69,200000,1000000,7813,128,1000192,72.28681755065918,13836.437041913727,0.07227294114595915,0.8530931845161142,0.6233813047365528,0.8068096380278816,0.44525562636118204,4676.3994140625,32.16419219970703,0.9369754375658514
CIC-IDS2017_pyod-DeepSVDD_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,50,7813,128,256,0.01040029525756836,24614.685800742744,0.040626153349876404,0.8389965588896405,0.6243506491640782,0.5848590738782662,0.3576752855099613,47.30160140991211,2.1975557804107666,0.3677266836182085
CIC-IDS2017_pyod-DeepSVDD_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,100,7813,128,256,0.2979609966278076,859.1728544920179,1.1639101430773735,0.8389965588896405,0.6243506491640782,0.5848590738782662,0.3576752855099613,47.30160140991211,2.1975557804107666,0.3677266836182085
CIC-IDS2017_pyod-DeepSVDD_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,200,7813,128,256,0.5565834045410156,459.9490353312087,2.1741539239883423,0.8389965588896405,0.6243506491640782,0.5848590738782662,0.3576752855099613,47.30160140991211,2.1975557804107666,0.3677266836182085
CIC-IDS2017_pyod-DeepSVDD_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,500,7813,128,512,0.8019931316375732,638.4094573909352,1.5663928352296352,0.8389965588896405,0.6243506491640782,0.7348504510351019,0.6159260406452849,46.75461959838867,2.178295612335205,0.5811549658364107
CIC-IDS2017_pyod-DeepSVDD_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,1000,7813,128,1024,1.062615156173706,963.6602621848981,1.0377101134508848,0.8389965588896405,0.6243506491640782,0.7623892256540895,0.7078386088493506,45.79604721069336,2.149728536605835,0.5806549916903628
CIC-IDS2017_pyod-DeepSVDD_TabExtractor_TRAJ_max1000000_bs128,2026-03-02 19:31:48,CIC-IDS2017,pyod-DeepSVDD,42,69,200000,2000,7813,128,2048,1.3320460319519043,1537.4844043482324,0.6504131015390158,0.8389965588896405,0.6243506491640782,0.8044087822786019,0.7147593003064685,44.0761833190918,2.0954294204711914,0.5443952170778428
